,index,Unnamed: 0,title,head_0,head_1,head_2
0,780295,780295,«Самый красивый солдат Китая» объяснила вступление в армию,0,0,0
1,185252,185252,Коби Брайант побил рекорд Майкла Джордана,0,0,0
2,387127,387127,Полиция разогнала шествие националистов в Москве,0,0,0
3,508212,508212,Генеральный штаб ВС России проверит мобильность армии,0,0,0
4,554892,554892,"Роджер Федерер пожертвовал 13,5 миллионов долларов на детсады в Малави",0,0,0
5,686461,686461,Гендиректор Ferrari пообещал начать выпуск внедорожников,0,0,0
6,435279,435279,На начальника штаба Южного военного округа завели еще одно дело,0,0,0
7,117981,117981,Охрана дагестанского чиновника застрелила сотрудника ФСБ,0,0,0
8,579993,579993,СМИ сообщили о разборках со стрельбой между бандами попрошаек в Екатеринбурге,0,0,0
9,430023,430023,Первое фолио Шекспира выложат в интернет,0,0,0
10,477990,477990,В Москве влюбленная пара насмерть запытала знакомого,0,0,0
11,782143,782143,Чехия отчитала российского посла,0,0,0
12,68734,68734,Британские спецназовцы ведут бои на улицах Басры,0,0,0
13,642583,642583,В Израиле пассажирский автобус сорвался в ущелье с 70-метровой высоты,0,0,0
14,492323,492323,В лишенном лицензии самарском банке обнаружились фиктивные кредиты,1,0,0
15,585693,585693,Претендент на пост главы «АвтоВАЗа» задержался в Румынии,0,0,0
16,45872,45872,Лидер социал-демократов Белоруссии попал за решетку,0,0,0
17,456511,456511,Ubisoft признала существование Assassin’s Creed IV: Black Flag,0,0,0
18,310187,310187,"Суд отказался приостанавливать строительство ""Охта-центра"" на время разбирательства",0,0,0
19,765967,765967,Футболист забил со своей половины поля на 93-й минуте,0,0,0
20,547975,547975,Член литовского жюри объяснил низшую оценку Гагариной на «Евровидении»,0,0,0
21,247856,247856,"Глава союза велогонщиков оценил шансы Армстронга выиграть ""Тур де Франс""",0,0,0
22,647750,647750,Орешкин призвал ВЭБ «расколдовать» проектное финансирование,1,3,0
23,722429,722429,Американский город провонял смертью,0,0,0
24,770542,770542,Россиянам открыли доступ к знаниям,0,0,0
25,81167,81167,В Версале начинается 17-летняя реставрация,0,0,0
26,630186,630186,Столтенберг понадеялся на продолжение лидерства США в НАТО при Трампе,0,0,0
27,343948,343948,Батурина построит гольф-клуб в Москве,0,0,0
28,426823,426823,Клинтон прибыла с необъявленным визитом в Афганистан,0,0,0
29,408278,408278,Британский чарт возглавила новая игра создателя Oblivion,0,0,0
30,405926,405926,"На загородном рынке за год заключили 24,5 тысячи сделок",0,0,0
31,793045,793045,Литва назвала Россию главным препятствием для мира в Донбассе,0,0,0
32,630692,630692,Политолог оценил желание Чечни жить по средствам,0,0,0
33,194687,194687,Назван автор нового романа о Джеймсе Бонде,0,0,0
34,215997,215997,Ташкентский авиазавод вошел в Объединенную авиастроительную корпорацию,1,2,1
35,725055,725055,Перечислены самые необходимые мужчине вещи,0,0,0
36,109304,109304,Юрий Башмет приглашает отметить Новый год в компании Шостаковича и Маккартни,0,0,0
37,330300,330300,В США открыли дела на крупнейшие банки Уолл-стрит,1,2,1
38,250816,250816,Друзья семьи Макканн отсудили у газетчиков 648 тысяч долларов,0,0,0
39,697591,697591,Американка порвала с калькулятором и захотела выйти замуж за тетрис,0,0,0
40,586362,586362,Познер отказался ставить блогеров и журналистов в один ряд,0,0,0
41,448667,448667,"""Аквариум"" выпустил сборник концертных раритетов",0,0,0
42,181969,181969,Контроллеры PlayStation снова будут вибрировать,0,0,0
43,265068,265068,В Петербурге принят законопроект о защите прав дольщиков,0,0,0
44,382686,382686,ООН объявила в Сомали голод,0,0,0
45,568727,568727,Курганский суд запретил «Орду» за лечение плетью,0,0,0
46,717952,717952,США придумали способ лишить Индию российских С-400,0,0,0
47,601096,601096,Для Арктики разработают собственный ГОСТ,0,0,0
48,255254,255254,В Ингушетии попала под обстрел военная колонна,0,0,0
49,107418,107418,Американскую компанию призывают к ответу за катастрофу в Индии,0,0,0
50,475267,475267,Палеонтологи нашли окаменевшую амбру,0,0,0
51,367618,367618,Великобритания пригрозила Каддафи смертью,0,0,0
52,471534,471534,Выход устройств на платформе Tizen отложили,0,0,0
53,91706,91706,В иракском городе Дивания убиты трое американских солдат,0,0,0
54,748834,748834,Губерниев затроллил крестившуюся Вяльбе,0,0,0
55,468100,468100,В сомалийском квартале Лондона сожгли мечеть,0,0,0
56,651608,651608,Найдено средство против смертельно опасных белков,0,0,0
57,43616,43616,"Итальянская лыжница завоевала первое ""золото"" Олимпиады",0,0,0
58,6553,6553,Матвиенко выполнила поручение Путина по погашению долгов бюджетникам,1,2,1
